Date,Instance
1/1/2022,1
1/2/2022,1
1/3/2022,1
1/4/2022,2
1/5/2022,3
1/6/2022,3
1/7/2022,3
1/8/2022,2
1/9/2022,2
1/10/2022,1
1/11/2022,2
1/12/2022,3
1/13/2022,3
1/14/2022,6
1/15/2022,6
1/16/2022,6
1/17/2022,7
1/18/2022,8
1/19/2022,6
1/20/2022,5
1/21/2022,5
1/22/2022,4
1/23/2022,3
1/24/2022,2
1/25/2022,1
1/26/2022,1
1/27/2022,1
1/28/2022,1
1/29/2022,1
1/30/2022,4
1/31/2022,5
2/1/2022,6
2/2/2022,3
2/3/2022,3
2/4/2022,3
2/5/2022,4
2/6/2022,4
2/7/2022,4
2/8/2022,4
2/9/2022,3
2/10/2022,3
2/11/2022,3
2/12/2022,2
2/13/2022,2
2/14/2022,2
2/15/2022,1
2/16/2022,1
2/17/2022,1
2/18/2022,5
2/19/2022,5
2/20/2022,5
2/21/2022,5
2/22/2022,5
2/23/2022,5
2/24/2022,5
2/25/2022,5
2/26/2022,5
2/27/2022,9
2/28/2022,9
3/1/2022,9
3/2/2022,8
3/3/2022,8
3/4/2022,8
3/5/2022,7
3/6/2022,7
3/7/2022,7
3/8/2022,6
3/9/2022,6
3/10/2022,12
3/11/2022,23
3/12/2022,23
3/13/2022,23
3/14/2022,21
3/15/2022,22
3/16/2022,22
3/17/2022,22
3/18/2022,34
3/19/2022,56
3/20/2022,56
3/21/2022,56
3/22/2022,56
3/23/2022,23
3/24/2022,23
3/25/2022,23
3/26/2022,23
3/27/2022,23
3/28/2022,23
3/29/2022,23
3/30/2022,23
3/31/2022,23
4/1/2022,23
4/2/2022,23
4/3/2022,20
4/4/2022,21
4/5/2022,21
4/6/2022,21
4/7/2022,21
4/8/2022,17
4/9/2022,17
4/10/2022,17
4/11/2022,17
4/12/2022,1
4/13/2022,1
4/14/2022,1
4/15/2022,1
4/16/2022,1
4/17/2022,1
4/18/2022,1
4/19/2022,1
4/20/2022,1
4/21/2022,1
4/22/2022,12
4/23/2022,12
4/24/2022,11
4/25/2022,10
4/26/2022,13
4/27/2022,12
4/28/2022,11
4/29/2022,11
4/30/2022,1
5/1/2022,1
5/2/2022,1
5/3/2022,1
5/4/2022,1
5/5/2022,1
5/6/2022,1
5/7/2022,12
5/8/2022,1
5/9/2022,1
5/10/2022,1
5/11/2022,1
5/12/2022,4
5/13/2022,4
5/14/2022,4
5/15/2022,4
5/16/2022,4
5/17/2022,4
5/18/2022,4
5/19/2022,4
5/20/2022,7
5/21/2022,7
5/22/2022,1
5/23/2022,1
5/24/2022,1
5/25/2022,1
5/26/2022,1
5/27/2022,1
5/28/2022,1
5/29/2022,1
5/30/2022,1
5/31/2022,1
6/1/2022,1
6/2/2022,2
6/3/2022,2
6/4/2022,3
6/5/2022,19
6/6/2022,18
6/7/2022,18
6/8/2022,18
6/9/2022,18
6/10/2022,18
6/11/2022,17
6/12/2022,17
6/13/2022,16
6/14/2022,15
6/15/2022,17
6/16/2022,18
6/17/2022,34
6/18/2022,34
6/19/2022,34
6/20/2022,34
6/21/2022,34
6/22/2022,33
6/23/2022,33
6/24/2022,33
6/25/2022,33
6/26/2022,33
6/27/2022,33
6/28/2022,33
6/29/2022,32
6/30/2022,32
7/1/2022,32
7/2/2022,32
7/3/2022,32
7/4/2022,32
7/5/2022,32
7/6/2022,31
7/7/2022,31
7/8/2022,31
7/9/2022,31
7/10/2022,31
7/11/2022,31
7/12/2022,31
7/13/2022,30
7/14/2022,29
7/15/2022,29
7/16/2022,29
7/17/2022,29
7/18/2022,28
7/19/2022,28
7/20/2022,28
7/21/2022,26
7/22/2022,26
7/23/2022,26
7/24/2022,26
7/25/2022,26
7/26/2022,26
7/27/2022,26
7/28/2022,26
7/29/2022,25
7/30/2022,25
7/31/2022,25
8/1/2022,25
8/2/2022,25
8/3/2022,25
8/4/2022,24
8/5/2022,24
8/6/2022,24
8/7/2022,24
8/8/2022,24
8/9/2022,1
8/10/2022,1
8/11/2022,1
8/12/2022,11
8/13/2022,1
8/14/2022,1
8/15/2022,1
8/16/2022,1
8/17/2022,12
8/18/2022,1
8/19/2022,2
8/20/2022,3
8/21/2022,4
8/22/2022,5
8/23/2022,4
8/24/2022,3
8/25/2022,4
8/26/2022,1
8/27/2022,4
8/28/2022,6
8/29/2022,3
8/30/2022,56
8/31/2022,57
9/1/2022,59
9/2/2022,23
9/3/2022,23
9/4/2022,21
9/5/2022,11
9/6/2022,11
9/7/2022,11
9/8/2022,11
9/9/2022,11
9/10/2022,11
9/11/2022,10
9/12/2022,67
9/13/2022,67
9/14/2022,67
9/15/2022,56
9/16/2022,56
9/17/2022,56
9/18/2022,56
9/19/2022,56
9/20/2022,56
9/21/2022,55
9/22/2022,55
9/23/2022,55
9/24/2022,55
9/25/2022,55
9/26/2022,54
9/27/2022,54
9/28/2022,54
9/29/2022,54
9/30/2022,54
10/1/2022,42
10/2/2022,32
10/3/2022,32
10/4/2022,32
10/5/2022,1
10/6/2022,1
10/7/2022,1
10/8/2022,100
10/9/2022,100
10/10/2022,100
10/11/2022,100
10/12/2022,100
10/13/2022,100
10/14/2022,100
10/15/2022,100
10/16/2022,100
10/17/2022,100
10/18/2022,100
10/19/2022,100
10/20/2022,99
10/21/2022,99
10/22/2022,99
10/23/2022,99
10/24/2022,99
10/25/2022,99
10/26/2022,99
10/27/2022,99
10/28/2022,98
10/29/2022,98
10/30/2022,98
10/31/2022,98
11/1/2022,90
11/2/2022,90
11/3/2022,90
11/4/2022,90
11/5/2022,34
11/6/2022,4
11/7/2022,3
11/8/2022,3
11/9/2022,3
11/10/2022,3
11/11/2022,1
11/12/2022,1
11/13/2022,1
11/14/2022,1
11/15/2022,1
11/16/2022,10
11/17/2022,11
11/18/2022,12
11/19/2022,12
11/20/2022,12
11/21/2022,12
11/22/2022,14
11/23/2022,12
11/24/2022,11
11/25/2022,11
11/26/2022,11
11/27/2022,11
11/28/2022,11
11/29/2022,10
11/30/2022,2
12/1/2022,2
12/2/2022,1
12/3/2022,1
12/4/2022,1
12/5/2022,1
12/6/2022,1
12/7/2022,1
12/8/2022,1
12/9/2022,1
12/10/2022,1
12/11/2022,1
12/12/2022,1
12/13/2022,1
12/14/2022,1
12/15/2022,1
12/16/2022,1
12/17/2022,1
12/18/2022,1
12/19/2022,1
12/20/2022,1
12/21/2022,1
12/22/2022,1
12/23/2022,1
12/24/2022,1
12/25/2022,1
12/26/2022,1
12/27/2022,1
12/28/2022,1
12/29/2022,1
12/30/2022,1
12/31/2022,1
1/1/2023,1
1/2/2023,1
1/3/2023,4
1/4/2023,4
1/5/2023,4
1/6/2023,4
1/7/2023,3
1/8/2023,2
1/9/2023,2
1/10/2023,1
1/11/2023,2
1/12/2023,3
1/13/2023,3
1/14/2023,6
1/15/2023,6
1/16/2023,6
1/17/2023,7
1/18/2023,8
1/19/2023,6
1/20/2023,5
1/21/2023,5
1/22/2023,4
1/23/2023,3
1/24/2023,2
1/25/2023,1
1/26/2023,0
1/27/2023,0
1/28/2023,0
1/29/2023,0
1/30/2023,4
1/31/2023,5
2/1/2023,6
2/2/2023,3
2/3/2023,3
2/4/2023,3
2/5/2023,4
2/6/2023,4
2/7/2023,4
2/8/2023,4
2/9/2023,3
2/10/2023,3
2/11/2023,3
2/12/2023,2
2/13/2023,2
2/14/2023,2
2/15/2023,1
2/16/2023,1
2/17/2023,1
2/18/2023,5
2/19/2023,5
2/20/2023,5
2/21/2023,5
2/22/2023,5
2/23/2023,5
2/24/2023,5
2/25/2023,5
2/26/2023,6
2/27/2023,6
2/28/2023,6
3/1/2023,6
3/2/2023,5
3/3/2023,23
3/4/2023,23
3/5/2023,3
3/6/2023,4
3/7/2023,4
3/8/2023,44
3/9/2023,44
3/10/2023,44
3/11/2023,44
3/12/2023,44
3/13/2023,44
3/14/2023,4
3/15/2023,44
3/16/2023,4
3/17/2023,44
3/18/2023,34
3/19/2023,56
3/20/2023,56
3/21/2023,56
3/22/2023,56
3/23/2023,23
3/24/2023,23
3/25/2023,23
3/26/2023,23
3/27/2023,23
3/28/2023,23
3/29/2023,23
3/30/2023,23
3/31/2023,23
4/1/2023,23
4/2/2023,23
4/3/2023,20
4/4/2023,21
4/5/2023,21
4/6/2023,21
4/7/2023,21
4/8/2023,17
4/9/2023,17
4/10/2023,17
4/11/2023,17
4/12/2023,1
4/13/2023,1
4/14/2023,1
4/15/2023,1
4/16/2023,1
4/17/2023,1
4/18/2023,1
4/19/2023,1
4/20/2023,1
4/21/2023,1
4/22/2023,12
4/23/2023,12
4/24/2023,11
4/25/2023,10
4/26/2023,13
4/27/2023,12
4/28/2023,11
4/29/2023,11
4/30/2023,2
5/1/2023,2
5/2/2023,2
5/3/2023,2
5/4/2023,2
5/5/2023,2
5/6/2023,2
5/7/2023,12
5/8/2023,1
5/9/2023,1
5/10/2023,1
5/11/2023,1
5/12/2023,4
5/13/2023,4
5/14/2023,4
5/15/2023,4
5/16/2023,4
5/17/2023,4
5/18/2023,4
5/19/2023,4
5/20/2023,7
5/21/2023,7
5/22/2023,7
5/23/2023,7
5/24/2023,7
5/25/2023,7
5/26/2023,7
5/27/2023,7
5/28/2023,7
5/29/2023,7
5/30/2023,7
5/31/2023,7
6/1/2023,1
6/2/2023,2
6/3/2023,2
6/4/2023,3
6/5/2023,19
6/6/2023,18
6/7/2023,18
6/8/2023,18
6/9/2023,18
6/10/2023,18
6/11/2023,17
6/12/2023,17
6/13/2023,16
6/14/2023,15
6/15/2023,17
6/16/2023,18
6/17/2023,34
6/18/2023,34
6/19/2023,34
6/20/2023,34
6/21/2023,34
6/22/2023,33
6/23/2023,33
6/24/2023,33
6/25/2023,33
6/26/2023,33
6/27/2023,33
6/28/2023,33
6/29/2023,32
6/30/2023,32
7/1/2023,32
7/2/2023,32
7/3/2023,32
7/4/2023,32
7/5/2023,32
7/6/2023,31
7/7/2023,31
7/8/2023,31
7/9/2023,31
7/10/2023,31
7/11/2023,31
7/12/2023,56
7/13/2023,56
7/14/2023,56
7/15/2023,56
7/16/2023,34
7/17/2023,34
7/18/2023,34
7/19/2023,34
7/20/2023,34
7/21/2023,23
7/22/2023,23
7/23/2023,3
7/24/2023,3
7/25/2023,3
7/26/2023,3
7/27/2023,2
7/28/2023,2
7/29/2023,2
7/30/2023,2
7/31/2023,1
8/1/2023,1
8/2/2023,1
8/3/2023,1
8/4/2023,1
8/5/2023,24
8/6/2023,24
8/7/2023,24
8/8/2023,24
8/9/2023,4
8/10/2023,4
8/11/2023,4
8/12/2023,4
8/13/2023,4
8/14/2023,4
8/15/2023,4
8/16/2023,4
8/17/2023,12
8/18/2023,1
8/19/2023,2
8/20/2023,3
8/21/2023,4
8/22/2023,5
8/23/2023,4
8/24/2023,3
8/25/2023,4
8/26/2023,1
8/27/2023,4
8/28/2023,6
8/29/2023,3
8/30/2023,56
8/31/2023,57
9/1/2023,59
9/2/2023,23
9/3/2023,23
9/4/2023,21
9/5/2023,11
9/6/2023,11
9/7/2023,11
9/8/2023,11
9/9/2023,11
9/10/2023,11
9/11/2023,10
9/12/2023,67
9/13/2023,67
9/14/2023,67
9/15/2023,56
9/16/2023,56
9/17/2023,56
9/18/2023,56
9/19/2023,56
9/20/2023,56
9/21/2023,55
9/22/2023,55
9/23/2023,55
9/24/2023,55
9/25/2023,55
9/26/2023,54
9/27/2023,54
9/28/2023,54
9/29/2023,54
9/30/2023,54
10/1/2023,42
10/2/2023,32
10/3/2023,32
10/4/2023,32
10/5/2023,2
10/6/2023,2
10/7/2023,2
10/8/2023,100
10/9/2023,100
10/10/2023,100
10/11/2023,100
10/12/2023,100
10/13/2023,100
10/14/2023,100
10/15/2023,100
10/16/2023,100
10/17/2023,100
10/18/2023,100
10/19/2023,100
10/20/2023,99
10/21/2023,99
10/22/2023,99
10/23/2023,99
10/24/2023,99
10/25/2023,99
10/26/2023,99
10/27/2023,99
10/28/2023,98
10/29/2023,98
10/30/2023,98
10/31/2023,98
11/1/2023,90
11/2/2023,90
11/3/2023,90
11/4/2023,90
11/5/2023,34
11/6/2023,4
11/7/2023,3
11/8/2023,3
11/9/2023,3
11/10/2023,3
11/11/2023,1
11/12/2023,0
11/13/2023,0
11/14/2023,0
11/15/2023,0
11/16/2023,10
11/17/2023,11
11/18/2023,12
11/19/2023,12
11/20/2023,12
11/21/2023,12
11/22/2023,14
11/23/2023,12
11/24/2023,11
11/25/2023,11
11/26/2023,11
11/27/2023,11
11/28/2023,11
11/29/2023,10
11/30/2023,2
12/1/2023,2
12/2/2023,1
12/3/2023,1
12/4/2023,1
12/5/2023,1
12/6/2023,1
12/7/2023,1
12/8/2023,1
12/9/2023,1
12/10/2023,1
12/11/2023,1
12/12/2023,1
12/13/2023,1
12/14/2023,1
12/15/2023,1
12/16/2023,1
12/17/2023,1
12/18/2023,1
12/19/2023,1
12/20/2023,1
12/21/2023,1
12/22/2023,1
12/23/2023,1
12/24/2023,1
12/25/2023,1
12/26/2023,1
12/27/2023,1
12/28/2023,1
12/29/2023,1
12/30/2023,1
12/31/2023,1
